iter	MultiClass
111	0.1824502742
112	0.1819796435
113	0.1814526821
114	0.1812135817
115	0.1801099438
116	0.1792762157
117	0.1785560527
118	0.1779897278
119	0.1776515204
120	0.1769104373
121	0.1765777172
122	0.1759594629
123	0.1756232601
124	0.1751492403
125	0.1745636828
126	0.1741337942
127	0.1738395607
128	0.1731968595
129	0.1727349746
130	0.1716285057
131	0.1713136759
132	0.1708268013
133	0.1705967311
134	0.1702873113
135	0.1701773541
136	0.1697760273
137	0.1694843023
138	0.1692172553
139	0.1685577969
140	0.1683106785
141	0.1674437234
142	0.1671896247
143	0.166775777
144	0.1666351706
145	0.1663857555
146	0.1661398898
147	0.1657623783
148	0.1653054335
149	0.1651919884
150	0.1650160816
151	0.1644542686
152	0.1641223835
153	0.1637176548
154	0.1633217601
155	0.1628140486
156	0.1626679345
157	0.1623407594
158	0.1620537361
159	0.1616043
160	0.1614083856
161	0.1606313726
162	0.1603537613
163	0.1599189168
164	0.159431937
165	0.1589096855
166	0.1587563999
167	0.1584868749
168	0.1583244546
169	0.1581228755
170	0.1576800071
171	0.1574223034
172	0.1572129426
173	0.1570823645
174	0.1567271522
175	0.156527708
176	0.1561759999
177	0.1560275174
178	0.155809007
179	0.1553451034
180	0.1551664626
181	0.1548248638
182	0.1546975657
183	0.1544900102
184	0.1542115518
185	0.1539180818
186	0.1537335668
187	0.153416745
188	0.1531707928
189	0.152838171
190	0.1523670613
191	0.1521350927
192	0.1519096745
193	0.1516911123
194	0.1514904644
195	0.1510943966
196	0.1507943019
197	0.1502764283
198	0.1500034201
199	0.149827393
200	0.1496031043
201	0.1493622013
202	0.1492003317
203	0.1489602234
204	0.1484590902
205	0.1482228706
206	0.1479232165
207	0.1477286311
208	0.1476254387
209	0.1471924765
210	0.146847202
211	0.14664023
212	0.1461637744
213	0.1457983773
214	0.1454570765
215	0.1452743438
216	0.1450933415
217	0.1448323617
218	0.1446093483
219	0.1442948128
220	0.1440395194
221	0.1438880679
222	0.1436445666
223	0.1434150817
224	0.1431795079
225	0.1424262648
226	0.1416335702
227	0.1414526899
228	0.1410726275
229	0.1406913055
230	0.1405959539
231	0.1403691299
232	0.1400355314
233	0.1397399909
234	0.1395183999
235	0.1391351001
236	0.1388147462
237	0.138664087
238	0.1384365035
239	0.1381683801
240	0.1379445958
241	0.1377212429
242	0.1374767907
243	0.1372656936
244	0.1370269277
245	0.1367070024
246	0.1362875187
247	0.1360925036
248	0.1358631499
249	0.1355672304
250	0.1353151107
251	0.1351600076
252	0.134577067
253	0.1343273581
254	0.1341616394
255	0.1338941193
256	0.1335366093
257	0.1332977295
258	0.1331275223
259	0.1325975384
260	0.132272797
261	0.1321141945
262	0.131412374
263	0.1312509503
264	0.1310890228
265	0.1309310845
266	0.1307171186
267	0.1305421902
268	0.1302278296
269	0.1300306056
270	0.1298659704
271	0.1296601553
272	0.1295334819
273	0.1292628708
274	0.1290904164
275	0.1290304723
276	0.1283978079
277	0.128272062
278	0.1281442566
279	0.12805378
280	0.1278641614
281	0.1277691578
282	0.1275134847
283	0.1273123239
284	0.1271402129
285	0.126745415
286	0.1266394482
287	0.1263653589
288	0.1262258287
289	0.1260279434
290	0.125768998
291	0.1255298831
292	0.1252899526
293	0.1251262915
294	0.1249811432
295	0.1248170734
296	0.1245315566
297	0.124225242
298	0.1240644675
299	0.1239806146
300	0.1236640023
301	0.1233723943
302	0.1232541929
303	0.1229615167
304	0.1227460976
305	0.1224492386
306	0.1222830974
307	0.122076104
308	0.1218769797
309	0.1214857062
310	0.1209366645
311	0.1205441083
312	0.1203425729
313	0.1202807511
314	0.1197980152
315	0.1194707469
316	0.119278034
317	0.1190659853
318	0.1188375826
319	0.1187058988
320	0.1183477153
321	0.1181606
322	0.1179859953
323	0.1178214581
324	0.1176526589
325	0.1173845513
326	0.1173124035
327	0.1171037629
328	0.1169001128
329	0.1167212875
330	0.1166547469
331	0.1164905235
332	0.116383347
333	0.116163144
334	0.11583449
335	0.1155127993
336	0.1151624376
337	0.1150070105
338	0.1148289769
339	0.114664905
340	0.114446033
341	0.1143007275
342	0.1141248038
343	0.1138503445
344	0.1137729427
345	0.1135755182
346	0.1135151979
347	0.1132682137
348	0.1131750779
349	0.1130883446
350	0.1129197432
351	0.1127829895
352	0.1126506267
353	0.1124524453
354	0.112230392
355	0.112083788
356	0.1119107541
357	0.1117367007
358	0.1113152511
359	0.1111266371
360	0.110667955
361	0.1104477244
362	0.11028007
363	0.1099366387
364	0.1096974236
365	0.1095537173
366	0.1094602486
367	0.10929926
368	0.1091382188
369	0.1089881424
370	0.1087818119
371	0.1086755092
372	0.1085663249
373	0.1082254739
374	0.1079091952
375	0.107624964
376	0.1074723826
377	0.10738214
378	0.107093471
379	0.1069690418
380	0.1067579175
381	0.1065675002
382	0.1063727117
383	0.106223327
384	0.1061060354
385	0.1058999856
386	0.10582567
387	0.1056692903
388	0.1056279937
389	0.1054256812
390	0.1050832143
391	0.1048669782
392	0.1045680517
393	0.1044430425
394	0.1043601719
395	0.1041564334
396	0.1040055309
397	0.103864464
398	0.1037316064
399	0.1035681545
400	0.1033677321
401	0.1031553473
402	0.103039182
403	0.102726002
404	0.1025854897
405	0.1023464639
406	0.1021869228
407	0.1020496485
408	0.1015020627
409	0.101405165
410	0.1013125099
411	0.1011030057
412	0.1010259781
413	0.1009266507
414	0.1008350357
415	0.1007418695
416	0.1006170208
417	0.1005454374
418	0.1004242762
419	0.1002832229
420	0.1001424978
421	0.09995210258
422	0.09979241598
423	0.09968918423
424	0.09949906265
425	0.09933310662
426	0.09918556673
427	0.09908381835
428	0.09901901175
429	0.09893319796
430	0.09880384443
431	0.09872571802
432	0.09859661157
433	0.0984050207
434	0.09818292224
435	0.09799544766
436	0.0978985997
437	0.09782562151
438	0.09775197754
439	0.09763357513
440	0.09743897536
441	0.09721024658
442	0.09702515097
443	0.09693483192
444	0.09680229794
445	0.09668627676
446	0.09660631307
447	0.09642287899
448	0.09637460673
449	0.09625146168
450	0.09610959877
451	0.09585604224
452	0.09577881806
453	0.09567547069
454	0.09544567202
455	0.09525903473
456	0.09511904073
457	0.09504171864
458	0.09486152114
459	0.0946877104
460	0.09460728076
461	0.09449853303
462	0.09432474841
463	0.09409601543
464	0.09401990983
465	0.09391084985
466	0.09383738558
467	0.09365536271
468	0.09354221589
469	0.09343053214
470	0.09336477992
471	0.09326184435
472	0.09308715698
473	0.09292511762
474	0.0927151607
475	0.09254801339
476	0.09240204122
477	0.09234192395
478	0.09208260788
479	0.09201926625
480	0.0918474097
481	0.0915870309
482	0.09147372294
483	0.09127590876
484	0.09117262433
485	0.09110117345
486	0.09097849971
487	0.09084938688
488	0.09075392118
489	0.09055502001
490	0.09047817218
491	0.09027314724
492	0.09009776994
493	0.09000038434
494	0.08987829059
495	0.08980132624
496	0.08958687197
497	0.08947126799
498	0.08938049266
499	0.08916562248
