iter	Passed	Remaining
399	51058	12764
400	51179	12635
401	51312	12508
402	51442	12381
403	51569	12254
404	51694	12125
405	51827	11999
406	51962	11873
407	52096	11747
408	52218	11618
409	52338	11488
410	52459	11359
411	52588	11232
412	52703	11102
413	52819	10972
414	52938	10842
415	53063	10714
416	53183	10585
417	53300	10456
418	53429	10328
419	53546	10199
420	53677	10072
421	53793	9942
422	53909	9813
423	54025	9683
424	54134	9553
425	54256	9424
426	54370	9295
427	54488	9166
428	54601	9036
429	54720	8908
430	54846	8780
431	54964	8651
432	55085	8523
433	55208	8395
434	55336	8268
435	55454	8140
436	55569	8011
437	55686	7882
438	55802	7753
439	55930	7626
440	56051	7499
441	56171	7370
442	56294	7243
443	56409	7114
444	56526	6986
445	56639	6857
446	56761	6730
447	56882	6602
448	56991	6473
449	57108	6345
450	57233	6218
451	57372	6092
452	57497	5965
453	57630	5839
454	57764	5712
455	57887	5585
456	58008	5458
457	58123	5330
458	58243	5202
459	58361	5074
460	58472	4946
461	58590	4819
462	58714	4692
463	58841	4565
464	58955	4437
465	59076	4310
466	59196	4183
467	59312	4055
468	59429	3928
469	59547	3800
470	59672	3674
471	59794	3547
472	59912	3419
473	60032	3292
474	60157	3166
475	60290	3039
476	60413	2913
477	60529	2785
478	60658	2659
479	60777	2532
480	60903	2405
481	61022	2278
482	61136	2151
483	61251	2024
484	61372	1898
485	61497	1771
486	61616	1644
487	61736	1518
488	61855	1391
489	61976	1264
490	62094	1138
491	62218	1011
492	62339	885
493	62461	758
494	62584	632
495	62699	505
496	62821	379
497	62951	252
498	63073	126
499	63201	0
